#Hierarchical Translation and Rotation (.csv) file
[Head]
NumFrames,NumSegments,DataFrameRate,EulerRotationOrder,BoneAxis,TranslationUnits
2142,23,90,ZYX,N,mm

[SegmentNames&Hierarchy]
Segment,Parent
Hips,
Spine,Hips
Spine1,Spine
Spine2,Spine1
Spine3,Spine2
LeftShoulder,Spine3
LeftArm,LeftShoulder
LeftForeArm,LeftArm
LeftHand,LeftForeArm
RightShoulder,Spine3
RightArm,RightShoulder
RightForeArm,RightArm
RightHand,RightForeArm
Neck,Spine3
Head,Neck
LeftUpLeg,Hips
LeftLeg,LeftUpLeg
LeftFoot,LeftLeg
LeftToeBase,LeftFoot
RightUpLeg,Hips
RightLeg,RightUpLeg
RightFoot,RightLeg
RightToeBase,RightFoot

[SegmentData]
 Frame# ,,Hips,,,,,,,,,,,,,,,Spine,,,,,,,,,,,,,,,Spine1,,,,,,,,,,,,,,,Spine2,,,,,,,,,,,,,,,Spine3,,,,,,,,,,,,,,,LeftShoulder,,,,,,,,,,,,,,,LeftArm,,,,,,,,,,,,,,,LeftForeArm,,,,,,,,,,,,,,,LeftHand,,,,,,,,,,,,,,,RightShoulder,,,,,,,,,,,,,,,RightArm,,,,,,,,,,,,,,,RightForeArm,,,,,,,,,,,,,,,RightHand,,,,,,,,,,,,,,,Neck,,,,,,,,,,,,,,,Head,,,,,,,,,,,,,,,LeftUpLeg,,,,,,,,,,,,,,,LeftLeg,,,,,,,,,,,,,,,LeftFoot,,,,,,,,,,,,,,,LeftToeBase,,,,,,,,,,,,,,,RightUpLeg,,,,,,,,,,,,,,,RightLeg,,,,,,,,,,,,,,,RightFoot,,,,,,,,,,,,,,,RightToeBase,,,,,,,,,,,,,,,
